Drugbank id	Weight (Da)
DB00341	388.888
DB00342	471.6734
DB00343	414.518
DB00344	263.3767
DB00345	194.1873
DB00346	389.4488
DB00347	143.1406
DB00348	329.2281
DB00349	300.74
DB00350	209.2483
DB00351	384.516
DB00352	167.192
DB00353	339.4314
DB00354	433.028
DB00355	435.433
DB00356	169.565
DB00357	232.2783
DB00358	378.3122
DB00359	250.277
DB00360	241.2471
DB00361	778.947
DB00362	1140.2369
DB00363	326.823
DB00364	1558.67
DB00365	359.3947
DB00366	270.3694
DB00367	312.4458
DB00368	169.1778
DB00369	279.187
DB00370	265.3529
DB00371	218.2502
DB00372	399.616
DB00373	316.42
DB00374	390.5131
DB00375	-1
DB00376	301.4662
DB00377	296.414
DB00378	312.4458
DB00379	179.2588
DB00380	268.2691
DB00381	408.876
DB00382	198.2637
DB00383	344.4479
DB00384	253.2626
DB00385	723.651
DB00387	287.4397
DB00388	167.205
DB00389	186.232
DB00390	780.9385
DB00391	341.426
DB00392	312.472
DB00393	418.4403
DB00394	521.042
DB00395	260.33
DB00396	314.4617
DB00397	151.209
DB00398	464.825
DB00399	272.0896
DB00400	352.766
DB00401	388.4144
DB00402	388.808
DB00403	1352.405
DB00404	308.765
DB00405	319.239
DB00406	372.5258
DB00407	-1
DB00408	327.808
DB00409	371.269
DB00410	500.6222
DB00411	147.1955
DB00412	357.427
DB00413	211.327
DB00414	324.395
DB00415	349.405
DB00416	906.6279
DB00417	350.39
DB00418	238.2829
DB00419	219.278
DB00420	284.419
DB00421	416.573
DB00422	233.3062
DB00423	241.2405
DB00424	289.3694
DB00425	307.3895
DB00426	321.3318
DB00427	278.3914
DB00428	265.2206
DB00429	489.6426
DB00430	612.637
DB00431	290.83
DB00432	296.1999
DB00433	373.943
DB00434	287.3981
DB00435	30.0061
DB00436	421.415
DB00437	136.1115
DB00438	546.576
DB00439	459.5503
DB00440	290.3177
DB00441	263.1981
DB00442	277.2792
DB00443	392.4611
DB00444	656.654
DB00445	543.5193
DB00446	323.129
DB00447	349.769
DB00448	369.361
DB00449	351.4373
DB00450	379.4274
DB00451	776.87
DB00452	614.6437
DB00453	508.906
